Number1,Number2,Number3,Number4,Number5,Number6,SpecialNumber
1,2,27,34,45,48,2.4
2,5,8,25,29,47,2.4
7,8,13,14,36,44,2.4
1,11,23,31,37,41,2.4
4,12,26,34,37,38,2.4
9,20,25,30,36,40,2.4
15,20,22,33,35,42,2.4
13,24,30,35,43,49,2.4
8,11,32,33,36,38,2.4
16,21,22,32,42,44,2.4
9,17,19,23,46,48,2.4
21,23,24,36,38,43,2.4
2,4,15,20,22,29,2.4
1,8,17,18,22,44,2.4
15,27,34,37,47,48,2.4
8,10,27,33,43,44,2.4
8,11,19,29,32,33,2.4
12,14,15,16,30,48,2.4
1,7,12,14,26,37,2.4
6,12,31,36,42,49,2.4
5,6,12,13,18,24,2.4
6,14,21,28,34,38,2.4
16,17,18,24,35,43,2.4
17,22,26,38,39,49,2.4
2,16,22,42,44,45,2.4
18,20,27,33,34,40,2.4
23,30,39,44,46,47,2.4
5,7,8,11,19,35,2.4
6,29,34,35,36,41,2.4
13,15,22,25,29,42,2.4
6,15,23,24,34,43,2.4
1,15,17,18,35,38,2.4
4,13,25,27,47,48,2.4
26,28,31,32,42,44,2.4
7,19,22,32,37,46,2.4
4,15,24,30,41,45,2.4
5,11,12,22,31,48,2.4
10,33,40,43,44,45,2.4
4,9,12,22,36,41,2.4
10,15,18,20,40,49,2.4
1,33,35,36,40,46,2.4
10,14,19,20,42,49,2.4
6,12,13,26,30,35,2.4
1,7,25,29,37,38,2.4
3,9,12,17,28,40,2.4
1,14,20,25,47,48,2.4
32,36,40,41,44,49,2.4
6,17,20,30,41,42,2.4
3,4,10,13,23,32,2.4
9,11,13,26,29,43,2.4
3,7,22,28,44,46,2.4
12,19,26,27,33,37,2.4
1,26,34,36,42,45,2.4
8,16,42,43,44,47,2.4
1,25,38,40,46,47,2.4
6,8,33,34,47,48,2.4
29,33,42,44,45,47,2.4
13,17,28,29,48,49,2.4
6,11,16,17,21,40,2.4
14,27,30,33,39,42,2.4
9,13,18,23,45,48,2.4
1,6,18,25,42,45,2.4
4,6,20,27,34,42,2.4
9,13,24,36,42,48,2.4
17,33,38,39,40,47,2.4
14,21,26,38,40,46,2.4
3,20,26,32,42,46,2.4
7,8,13,14,22,48,2.4
2,5,34,40,42,47,2.4
2,3,16,23,26,42,2.4
5,26,27,43,45,46,2.4
1,32,34,36,40,49,2.4
5,6,24,32,34,40,2.4
5,10,35,37,47,49,2.4
5,8,32,43,47,49,2.4
1,7,8,18,19,20,2.4
13,16,25,28,41,42,2.4
9,14,16,27,35,45,2.4
13,15,18,27,30,34,2.4
4,25,26,29,31,49,2.4
1,9,10,11,31,37,2.4
11,13,17,28,32,49,2.4
5,14,21,26,35,40,2.4
5,18,20,26,33,49,2.4
14,15,19,34,36,41,2.4
2,10,21,33,35,44,2.4
3,14,21,28,32,36,2.4
1,8,27,33,34,35,2.4
3,5,6,16,18,39,2.4
12,22,29,37,44,48,2.4
10,11,13,27,35,40,2.4
9,13,18,19,25,36,2.4
1,4,7,28,33,49,2.4
1,5,6,11,20,42,2.4
1,7,12,23,33,37,2.4
8,9,20,24,31,43,2.4
6,14,24,26,34,42,2.4
14,31,33,34,40,47,2.4
10,19,26,29,3,2.4
4,11,20,25,32,39,30
